
language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.88  T=1.44 s (858.9 files/s, 115777.5 lines/s)"
TypeScript,./walter-client/src/components/Chat/Callflow/Widgets/SelectionWidget.tsx,26,1,202
TypeScript,./windows/electron_app/src/main.ts,31,19,202
TypeScript,./walter-client/src/components/Chat/Callflow/Callflow.tsx,18,0,201
Python,./walter-server/walter_tornado/stream_util.py,58,28,200
Python,./walter-server/bin/download-homepoint-calls.py,39,23,199
HTML,./integrations/zoom/daemon/zoom-web-app/index.html,9,1,197
Python,./models/actions/src/greyparrot/actions/classifiers/span_intent_classifier.py,31,29,197
TypeScript,./walter-client/packages/uicommon/src/components/AgentAndTeamSelect/View.tsx,11,18,197
TypeScript,./walter-client/packages/ai-director/src/components/IntentDrawer/RecordAudioExample.tsx,28,9,193
TypeScript,./walter-client/packages/ai-director/src/pages/AgentProgression/BehaviorHeatMap/ProgressionHeatMapView.tsx,10,4,193
C++,./windows/audiograb/audiograb_grabber.cpp,24,40,191
HTML,./walter-client/callflows/earthlink.html,0,0,190
TypeScript,./walter-client/packages/ai-director/src/pages/ConversationView/ConversationView.tsx,18,2,189
TypeScript,./walter-client/src/pages/AgentPerformanceMetrics/AgentPerformanceMetricsView.tsx,12,2,188
Python,./models/common/src/greyparrot/common/message.py,44,23,187
Python,./walter-server/walter_tornado/util.py,30,14,186
TypeScript,./walter-client/src/Routes.tsx,12,7,183
TypeScript,./walter-client/packages/ai-director/src/pages/ConversationView/CheckListPanel/CheckListPanel.tsx,16,0,182
Python,./models/common/src/greyparrot/common/dataset.py,62,28,181
TypeScript,./walter-client/packages/ai-director/src/pages/IntentsQAPage/NewExampleCreator.tsx,10,2,181
Python,./walter-server/walter_tornado/ffmpeg_interface.py,31,18,181
C/C++ Header,./windows/audiograb/external/opus/opus_defines.h,59,559,181
TypeScript,./walter-client/src/tracking/tracker.ts,12,9,180
TypeScript,./walter-client/packages/ai-director/src/NavMenu.tsx,11,7,179
XML,./windows/audiograb/audiograb_dll.vcxproj,0,0,179
C++,./windows/audiograb/audiograb_napi.cpp,23,1,178
XML,./windows/audiograb/audiograb_lib.vcxproj,0,0,175
Python,./app/actions/tune_thresholds.py,16,14,174
TypeScript,./walter-client/src/pages/CallflowEditorPage/BatchIntentCreator.tsx,10,0,173
Python,./walter-server/bin/test-latency.py,33,13,170
JSON,./walter-client/package.json,0,0,169
XML,./windows/audiograb_lib/audiograb_lib.vcxproj,0,0,169
TypeScript,./walter-client/packages/uicommon/src/components/VisitInfoCollapse/visit-info.gql.ts,13,4,167
TypeScript,./walter-client/src/tracking/track-voice-event-types.ts,25,0,167
Python,./walter-server/walter_tornado/endpoint_handlers/fly_on_the_wall.py,18,38,167
TypeScript,./walter-client/src/pages/CallflowEditorPage/CallFlowBackendConnector.tsx,8,0,166
Python,./bin/good-intent/predict.py,48,12,163
Python,./walter-server/walter_tornado/ogg_opus_encoder.py,39,9,163
TypeScript,./walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/PreviewPage.tsx,15,0,161
XML,./windows/AudiograbTest/AudiograbTest.vcxproj,0,0,160
TypeScript,./windows/electron_app/src/window-api/engine.ts,29,3,158
TypeScript,./walter-client/packages/ai-director/src/pages/ConversationView/chat-info-live-query.gql.ts,11,0,157
TypeScript,./walter-client/packages/ai-director/src/pages/__tests__/index.test.tsx,14,2,157
TypeScript,./walter-client/src/components/Chat/Hints/HintWidget.tsx,19,2,157
TypeScript,./walter-client/packages/ai-director/src/pages/AgentProgression/AgentProgression.tsx,7,1,154
JSON,./cronjobs/AgentProgression/package-lock.json,0,0,153
TypeScript,./walter-client/packages/ai-director/src/pages/AgentProgression/ChatsListDrawer/ChatsListDrawer.tsx,10,1,153
TypeScript,./ai-agent/src/pipelines/cached-message-pipeline.ts,27,52,151
TypeScript,./cronjobs/AgentProgression/src/uploadSDXForCreditPros.ts,12,10,148
SQL,./db/migrations/migrations/1594961784989_copy_existing_tables_to_app_schema/up.sql,28,17,148
TypeScript,./walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/Container.tsx,9,0,148
TypeScript,./walter-client/packages/uicommon/src/components/VisitInfoCollapse/View.tsx,17,0,148
TypeScript,./walter-client/packages/ai-director/src/pages/AgentProgression/HeatMap/HeatMap.tsx,7,3,147
XML,./windows/audiograb/build/audiograb_napi.vcxproj,0,0,146
HTML,./walter-client/callflows/homepoint.html,7,0,145
TypeScript,./walter-client/packages/uicommon/src/chat/MessageWindow/hints-and-messages-data.ts,3,3,145
TypeScript,./walter-client/packages/ai-director/src/pages/CoachingPage/AddTriggerForm.tsx,11,1,144
TypeScript,./walter-client/src/components/Chat/queries/chat-info-subscription.gql.ts,12,0,144
TypeScript,./walter-client/packages/ai-director/src/pages/ActionsPage/TriggerCreationMenu/CreateActionButton.tsx,7,0,142
TypeScript,./walter-client/packages/ai-director/src/pages/IntentsQAPage/MessageWithSearch.tsx,11,10,142
Python,./models/common/src/greyparrot/common/typing.py,64,9,141
Python,./walter-server/walter_tornado/audio_broadcast.py,23,10,141
TypeScript,./walter-client/packages/ai-director/src/pages/ActionsPage/TriggerEditMenu/UpdateTriggerButton.tsx,7,0,140
TypeScript,./walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/closed-chats.gql.tsx,7,4,140
TypeScript,./walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/PreviousCallflowParser.tsx,18,0,140
TypeScript,./windows/recorder_app/src/preload.ts,12,0,138
TypeScript,./windows/electron_app/src/window-api/window.ts,20,1,135
Python,./walter-server/walter_tornado/webm_parser.py,21,9,133
TypeScript,./walter-client/packages/ai-director/src/components/IntentDrawer/AddManualEntries.tsx,11,1,132
TypeScript,./walter-client/packages/ai-director/src/components/IntentMessageLabeling/index.tsx,11,0,132
Jupyter Notebook,./notebooks/ThresholdSelection.ipynb,0,158,131
TypeScript,./walter-client/packages/uicommon/src/chat/MessageWindow/__tests__/MessageWindow.test.tsx,9,0,131
TypeScript,./walter-client/packages/ai-director/src/pages/ActionsPage/TriggerCreationMenu/View.tsx,15,0,129
TypeScript,./walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/ChatFilterParametersProvider.tsx,7,5,129
TypeScript,./walter-client/packages/uicommon/src/chat/MessageBubble/ParsingHtml.tsx,16,10,129
TypeScript,./walter-client/packages/ai-director/src/pages/IntentsQAPage/IntentsDataset.tsx,8,0,128
TypeScript,./walter-client/packages/ai-director/src/components/LiveAudioTranscript/LiveAudioTranscript.tsx,9,4,127
TypeScript,./walter-client/src/pages/AgentPerformanceMetrics/Styled.tsx,20,0,127
C/C++ Header,./windows/audiograb/external/opusenc/speex_resampler.h,48,167,126
TypeScript,./walter-client/packages/ai-director/src/components/LiveAudioTranscript/chat-messages-query.gql.ts,10,1,124
TypeScript,./walter-client/src/components/Chat/Callflow/Widgets/BehaviorWidget.tsx,19,0,123
Python,./agent-progression-api/database.py,19,47,122
TypeScript,./cronjobs/AgentProgression/src/queries.ts,6,1,122
JavaScript,./walter-client/.eslintrc.gql.js,5,11,122
TypeScript,./cronjobs/AgentProgression/src/utils.ts,8,1,121
TypeScript,./electron/src/main.ts,20,21,121
TypeScript,./walter-client/src/components/Chat/NotesOrTranscript.tsx,12,8,121
TypeScript,./walter-client/packages/uicommon/src/components/HintCard/HintCard.tsx,9,3,120
C/C++ Header,./windows/audiograb/external/opus/opus_multistream.h,43,499,118
JavaScript,./db/sync/intent.js,15,6,117
JSON,./walter-client/.eslintrc.json,0,0,117
TypeScript,./walter-client/src/pages/AgentPerformanceMetrics/AgentPerformanceMetricsContainer.tsx,11,0,117
Python,./walter-server/bin/transcribe-mono-audio.py,25,29,117
C++,./windows/audiograb/audiograb_channel.cpp,20,26,116
Python,./integrations/event-broker/event_broker/publishers/redis_publisher.py,22,14,115
TypeScript,./ai-agent/src/listeners/moment-detection-listener.ts,16,4,114
TypeScript,./walter-client/src/netlify-functions/create-auth-user-function/handler.ts,12,0,114
TypeScript,./walter-client/packages/ai-director/src/pages/MomentsPage/Container.tsx,10,2,113
Python,./integrations/event-broker/tests/test_event_broker_api.py,17,0,112
TypeScript,./walter-client/packages/ai-director/src/pages/ClosedConversationDetails/ChatList/ChatCard.tsx,4,0,112
TypeScript,./walter-client/packages/ai-director/src/pages/ConversationDetails/ChatList/ChatCard.tsx,10,0,112
TypeScript,./walter-client/packages/ai-director/src/pages/ConversationDetails/ChatList/Container.tsx,8,0,112
JSON,./windows/electron_app/package-template.json,0,0,112
TypeScript,./walter-client/src/pages/Login/Login.tsx,10,3,111
TypeScript,./walter-client/packages/ai-director/src/components/CopyTranscriptButton/CopyTranscriptButton.tsx,4,0,109
TypeScript,./walter-client/packages/ai-director/src/components/IntentExampleFastAddMenu/ConfirmButton.tsx,9,0,109
TypeScript,./walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/ChecklistWidgetWrapper.tsx,11,0,109
JSON,./windows/electron_app/package.json,0,0,108
TypeScript,./walter-client/packages/uicommon/src/chat/MessageBubble/MessageBubble.tsx,7,3,107
Python,./integrations/amazon-connect/amazon_kinesis.py,31,20,106
JavaScript,./integrations/zoom/daemon/zoom-web-app/js/index.js,12,16,106
TypeScript,./windows/electron_app/src/cti-events.ts,16,6,105
TypeScript,./walter-client/packages/ai-director/src/components/HighlightedMessageNavigator/HighlightedMessageNavigator.tsx,13,2,104
TypeScript,./walter-client/packages/ai-director/src/pages/ActionsPage/TriggerInputForm/index.tsx,1,0,103
TypeScript,./walter-client/src/components/DispositionConfirmation/DispositionConfirmation.tsx,9,1,103
TypeScript,./walter-client/src/components/DispositionConfirmation/View.tsx,12,0,103
TypeScript,./walter-client/src/pages/CallflowEditorPage/CallflowEditorPage.tsx,6,0,103
TypeScript,./walter-client/packages/ai-director/src/components/LiveAudioTranscript/chat-messages.gql.ts,8,1,102
C/C++ Header,./windows/audiograb/external/opus/opus_types.h,30,36,100
JSON,./ai-agent/package.json,0,0,99
TypeScript,./ai-agent/src/microservices/chat-ai/actions/api.ts,26,9,99
TypeScript,./walter-client/src/netlify-functions/login-function/query-user.ts,4,6,99
TypeScript,./walter-client/src/serviceWorker.ts,13,33,99
C/C++ Header,./windows/audiograb/external/opus/opus.h,56,826,99
TypeScript,./walter-client/packages/ai-director/src/pages/ActionsPage/triggers.gql.ts,4,0,98
TypeScript,./walter-client/packages/uicommon/src/components/AgentAndTeamSelect/TeamEditModal/CreateTeamModal.tsx,4,4,98
C/C++ Header,./windows/audiograb/external/opus/opus_projection.h,58,413,97
C/C++ Header,./windows/audiograb/external/opusenc/opusenc.h,69,238,97
Python,./integrations/event-broker/event_broker/connectors/hoducc_session_monitor.py,18,37,96
TypeScript,./walter-client/packages/ai-director/src/pages/IntentsQAPage/CurrentIntentExamples.tsx,5,0,95
Python,./walter-server/bin/delete-call.py,17,39,95
TypeScript,./ai-agent/src/pipelines/widgets/objections/insert-objection-handling.ts,6,2,94
TypeScript,./walter-client/src/components/Chat/Callflow/AutomaticStageSwitcherListener.tsx,18,3,94
JavaScript,./db/utils/create-user.js,6,1,93
TypeScript,./experimental/kb/src/index.ts,16,9,93
JSON,./windows/recorder_app/package.json,0,0,93
Python,./walter-server/bin/download-tcp-calls.py,21,129,92
Python,./walter-server/tests/test_electron_app_socket.py,22,8,92
C/C++ Header,./windows/audiograb/external/opus/opus_custom.h,39,211,92
Python,./models/actions/server.py,26,12,91
HTML,./walter-client/callflows/sdr.html,1,0,91
TypeScript,./walter-client/src/netlify-functions/create-auth-user-function/create-user.ts,8,1,91
TypeScript,./walter-client/packages/ai-director/src/pages/Analytics/View.tsx,11,6,90
Python,./walter-server/bin/utils/google_transcribe.py,23,3,90
YAML,./walter-server/misc/cloud_formation.yaml,1,0,89
JavaScript,./integrations/zoom/daemon/zoom-web-app/js/meeting.js,7,2,88
Python,./models/common/src/greyparrot/common/config.py,27,12,87
TypeScript,./walter-client/packages/uicommon/src/chat/KnowledgeBaseMessage/__tests__/KnowledgeBaseMessage.test.tsx,4,0,87
Python,./walter-server/misc/AzureTranscript/batch_transcribe.py,38,36,87
Python,./walter-server/walter_tornado/speech_recognition/voci_transcriber.py,17,13,87
JSON,./windows/cisco_cti_monitor/package.json,0,0,87
TypeScript,./walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/SelectionWidgetWrapper.tsx,14,0,86
TypeScript,./walter-client/packages/ai-director/src/pages/VisualCallFlowEditor/WidgetWrapperPreview.tsx,10,0,86
TypeScript,./walter-client/src/components/Notes/BehaviorNote.tsx,9,0,86
TypeScript,./ai-agent/src/message-pipe.ts,19,29,85
